mode,id,memory_used,timestamp,init,billed,memory_max,duration
interactive,34469765580658005853121063318518681541269439410496077912,48,1545677746362,,100,256,35.57
interactive,34469724136395610273847749274681897807330477948200484871,48,1545675887937,445.42,600,256,76.79
interactive,34469762586002436868436334600129280581952874590800379955,49,1545677612077,,100,256,44.3
embedded,34469875535240432545108509819281862552767112417361788936,84,1545682676896,1016.67,1100,256,2.56
embedded,34469867138563850394358284110018461937532250476941148210,81,1545682300376,,100,256,37.2
interactive,34469745955868426674981513972155739398860840075505106976,48,1545676866356,,100,256,21.95
interactive,34469691404878258544099182720226994240127540268345196606,48,1545674420205,,100,256,39.22
embedded,34469844137463748903880921567352929495591715860699873305,83,1545681268971,,100,256,27.34
embedded,34469850054721179136797935634972640290813210285045973046,84,1545681534310,,100,256,20.21
interactive,34469751567583346942830460363578120635233232519904886838,48,1545677117994,,100,256,30.76
embedded,34469855985113748291649486741166496429256159233297088554,82,1545681800238,,100,256,15.73
embedded,34469849904815569912275086877569542062070924241845616651,84,1545681527588,964.01,1000,256,30.81
embedded,34469849934252553574335509424396690181966761429739765780,84,1545681528908,,100,256,31.87
embedded,34469892325359988792822020874532193653832532351621922834,83,1545683429791,,100,256,31.82
interactive,34469729469083606617681538905168801424654980301558448147,49,1545676127063,,100,256,20.46
embedded,34469870125570263775947009086526991944720856511784812630,83,1545682434318,,100,256,33.59
interactive,34469740454720601101447397123272773550892466279019839499,48,1545676619676,504.89,700,256,134.72
embedded,34469892497499440980279900904046403000405234816284753998,83,1545683437510,,100,256,57.19
embedded,34469855877155840785562740112992084271365441182845894664,82,1545681795397,757.69,800,256,3.06
embedded,34469881371233947274579933149370019199596521104911630459,81,1545682938591,,100,256,38.33
embedded,34469844213241681088487979002291300186050848258021326898,83,1545681272369,,100,256,30.04
embedded,34469861606440289740065131711577287994045377698749677628,83,1545682052307,,100,256,31.19
embedded,34469872797779357935077457797213482067875952614811041830,83,1545682554144,,100,256,12.03
interactive,34469691359830753243067323974324843329377850026264756269,48,1545674418185,,100,256,37.08
interactive,34469748878135776745235839966922334000734922284132008018,48,1545676997395,,100,256,22.02
embedded,34469847045926937696244791839561852991410164453103697980,84,1545681399391,,100,256,16.48
embedded,34469886840402504233421136421544309351572516771002646566,87,1545683183837,,100,256,30.89
embedded,34469841472034081285103782290875725525812808539120795735,87,1545681149449,,100,256,33.47
interactive,34469691475794628275426564310310578347149329857362919513,48,1545674423385,,100,256,68.04
embedded,34469847092312487709188487973956146998518756385542963278,84,1545681401471,,100,256,26.57
interactive,34469754218673635398952408949603267898789526955543560248,48,1545677236873,,100,256,48.56
interactive,34469691382109197696399416492719025883753563170739191860,48,1545674419184,,100,256,7.9
interactive,34469740661247802385039498037035060473888942185904472155,48,1545676628937,,100,256,58.85
interactive,34469743280247318500475879929965252759130104901492015130,48,1545676746377,,100,256,29.75
interactive,34469718999463555282715769577148485630628511330550218842,48,1545675657589,,100,256,23.85
embedded,34469852877727912328392458032891374614554291223097376797,83,1545681660898,,100,256,15.54
interactive,34469691292482502743504842086886974145979798278203899924,48,1545674415165,,100,256,24.98
interactive,34469716269785440746971905039066984696541269588883144775,48,1545675535186,,100,256,19.92
interactive,34469724341941578768704502770216613126330425948821979222,48,1545675897154,,100,256,73.68
embedded,34469858944690245079045545252062646942754301493300756554,83,1545681932950,,100,256,59.17
embedded,34469878428539114602471556355096225648531258190622556195,84,1545682806636,,100,256,56.02
interactive,34469716222552462416484045225294333395072039919216623670,48,1545675533068,,100,256,22.57
embedded,34469892521628847285090035143188050171410761965755564115,83,1545683438592,,100,256,17.32
embedded,34469889682297968608171096609759792305474093133865877599,84,1545683311272,,100,256,6.65
embedded,34469884099663220079206082794179626926945768226430058567,86,1545683060938,,100,256,21.73
interactive,34469745890326536536500012559182263395547305609428664328,48,1545676863417,496,700,256,115.73
interactive,34469756957584258446887951474749848657811596528285319203,49,1545677359690,,100,256,7.81
interactive,34469735230391925677273905337099384532103441478249349165,50,1545676385409,,100,256,14.75
embedded,34469867216170443685244852642562761526348548517752995915,81,1545682303856,,100,256,87.29
